Name,Description,Net_Worth,Date_of_Birth,Gender,Height,Profession,Nationality,Sentiment
Sunny Deol,"Sunny Deol Net Worth: Sunny Deol is an Indian film actor, producer and director who has a net worth of $50 million. Born Ajay Singh Deol on October 19 1956, in Sahnewal, Punjab, he has firmly established himself as one of the leading actors of Hindu cinema, often being called ""Action King of Bollywood"". Deol learned the acting craft from prominent schools in England, where he became part of the Old Rep Theater in Birmingham. He has since appeared in Bollywood's greatest hits like Border (1997) and Gadar: Ek Prem Katha (2001), while still being part of casts of less popular productions like Betaab (1983), Arjun (1985), Darr (1993), Jeet (1996), Ghatak: Lethal (1996),Indian (2001), The Hero: Love Story of a Spy (2003), Apne (2007) and Yamla Pagla Deewana (2011).",$50 Million,"Oct 19, 1956 (63 years old)",Male,5 ft 8 in (1.73 m),"Actor, Film Producer, Film director",India,Neutral
Bollywood,"Ajay Devgn net worth: Ajay Devgn is an Indian film actor, director and producer who has a net worth of $35 million. Ajay Devgn made his debut in 1991 with Phool Aur Kaante, which earned him a Filmfare Award for Best Male Debut. This was a good start for Devgn, securing him roles in many upcoming movies like Jigar (1992), Dilwale (1994), Suhaag (1994), Naajayaz (1995), Diljale (1996) and Ishq (1997). Then in 1999, Ajay made another notable performance in Mahesh Bhatt's drama Zakhm, which was crowned with another National Film Award, but this time for Best Actor. In the same year, he got married with the beautiful Indian actress Kajol, with whom he welcomed a baby daughter in 2003. His personal bliss was accompanied with success in his professional life, earning a second National Film Award for Best Actor for his rendition of Bhagat Singh in Rajkumar Santoshi's biopic The Legend of Bhagat Singh (2003). In the upcoming years, he has taken roles in many critically acclaimed and commercially successful movies, few of which are: Raincoat (2004), Omkara (2006), Golmaal Returns (2008), All the Best: Fun Begins (2009), Once Upon a Time in Mumbaai (2010), Golmaal 3 (2010), Singham (2011), Bol Bachchan (2012) and Son of Sardaar (2012). Leading a life of an established actor in Bollywood, he decided to try his chances as a film producer, making his debut with U Me Aur Hum in 2008. Apart from the fact that this movie turned out to be a moderate success, he established a production house named Ajay Devgan Films.",$35 Million,,,,,,Neutral
Rishi Kapoor,"Rishi Kapoor net worth: Rishi Kapoor is an Indian actor, film producer and director who has a net worth of $40 million. Being the second son of director and actor Raj Kapoor, Rishi made his acting debut with his father's 1970 film Mera Naam Joker, where he played Young Raju. Kapoor landed his first title role opposite Dimple Kapadia in the 1973 blockbusting movie Bobby. Then he made a popular pairing with his wife-to-be Neetu Singh in films like Khel Khel Mein, Kabhie Kabhie, Amar Akbar Anthony. Rishi Kapoor got solo lead hero roles in 51 movies, out of which only 11 turned out to become box office hits. Apart from the above, he was often offered roles of a younger brother of the main lead heroes in multi-hero movies, where his romantic character would have a life story closely revolving around the one of the lead hero. In the 1990s, he appeared in hit movies like Henna and Bol Radha Bol, and played the main lead hero in multi-hero films such as Deewana and Damini – Lightning. After performing in several box office failures from the mid 1990s, he moved on playing supporting roles in the 2000s. In 1999, he directed the drama Aa Ab Laut Chalen, while in 2000, he played romantic lead for the last time in Karobaar: The Business of Love, which had a 5-year-delayed release. Ever since he has been playing supporting roles in movies like Yeh Hai Jalwa, Hum Tum, Fanaa, Namaste London, Love Aaj Kal and Patiala House. He also appeared in 2 British movies and had a chance to play himself in the 2009 Ranjit Kapoor's directed movie Chintu Ji. In 2012, he played along his brother Randhir for the first time in Housefull 2. In his personal life, Kapoor maried actress Neetu Singh in 1981 and they have two children together: actor Ranbir Kapoor and designer Riddhima Kapoor Sahani.",$40 Million,"Sep 4, 1952 (67 years old)",Male,5 ft 6 in (1.7 m),"Actor, Film Producer, Film director, Musician",India,Neutral
Rajinikanth,"Rajinikanth Net Worth: Rajinikanth is an Indian film actor, media personality, and cultural icon who has a net worth of $50 million. Born Shivajirao Gaikwad on December 12, 1950, in Bangalore, Mysore State, India, he is a true mega-star in India who firmly holds the matinee idol status in the country's popular culture. Rajinikanth made his acting debut in the Tamil film Apoorva Raagangal (1975). Not only the film won the prestigious National Film Award, it was also produced by K. Balachander, the man to have a profound influence on Rajinikanth's acting as his mentor. After short phase of playing antagonistic characters in Tamil films, he has gradually turned into an established film actor. The hefty sum of 26 crore (US$4.4 million) for his turn in Sivaji (2007) made him the highest paid actor in Asia after Jackie Chan. Rajinikanth's opus includes impressive work in more than 150 films in Tamil, Hindi, Telugu, Malayalam and Kannada film Industry. In almost four-decade-long career, he has won six Tamil Nadu State Film Awards, four Best Actor Awards and two Special Awards for Best Actor, as well as a Filmfare Best Tamil Actor Award. But that's not all, Rajinikanth was also presented with Padma Bhushan, India's third highest civilian honor in 2000. In addition to acting, he has also worked as a producer and screenwriter.",$50 Million,"Dec 12, 1950 (69 years old)",Male,5 ft 8 in (1.75 m),"Actor, Screenwriter, Film Producer, Playback Singer",India,Neutral
Saif Ali Khan,"Saif Ali Khan net worth: Saif Ali Khan is an Indian actor who has a net worth of $40 million. Saif Ali Khan is avowed for his work in Bollywood movie industry. Being the son of eminent cricket player Mansoor Ali Khan and actress Sharmila Tagore, he decided to follow his mother's footsteps by embarking on an acting career. It was in 1992, when he made his acting debut with Parampara, while his first success came in 1994 with Main Khiladi Tu Anari and Yeh Dillagi. However, Khan's bright start was followed by several years of career decline throughout the 1990s. He got back to prominence in 2001, playing a role in Farhan Akhtar's Dil Chahta Hai. Then his performance in 2003 movie Kal Ho Naa Ho earned him the Filmfare Award for Best Supporting Actor, while his work in 2004 movie Hum Tum was awarded with the National Film Award for Best Actor. Further success followed with films like Salaam Namaste (2005) and Race (2008), which can be labeled more as mainstream projects than critically acclaimed ones like Parineeta (2005), Being Cyrus and Omkara (2006). In 2009, he made a shift in his career, branching out in film production with his company Illuminati Films. The first film they made, Love Aaj Kal, become a box-office success. These Khan's accomplishments were noticed and rewarded by the Government of India, who presented him with the Padma Shri award in 2010. Thanks to all his contribution to Hindu movie industry, he became one of the leading men of Hindi cinema. Same like his career path, Khan's personal life has also been filled with ups and downs. His first marriage with Amrita Singh, ended after 13 years and 2 children, but last year, he got married once again, this time with actress 
.",$40 Million,"Aug 16, 1970 (49 years old)",Male,5 ft 6 in (1.7 m),"Actor, Film Producer, Musician",India,Neutral
Fardeen Khan," Fardeen Khan is an Indian Bollywood actor who has a net worth of $40 million dollars. Fardeen Khan was born in Mumbai, Maharashtra, India, and attended the University of Massachusetts-Amherst, where he studied Business Management. He began his acting training at Kishore Namit Kapoor's Acting Institute. He began his professional acting career in 1998, with a role in the film, ""Prem Agan"". His work in the production garnered him the Filmfare ""Best Debut"" Award. It was two more years before he would shoot another film. Since then, he has worked steadily, appearing in three or more films per year. Some of his projects have included, ""Jungle"", ""Hum Ho Gaye Aapke"", ""Kuch Tum Kaho Kuch Hum Kahein"", ""Khushi"", ""Bhoot"", ""Fida"", ""No Entry"", ""Ek Khiladi Ek Haseena"", ""Just Married"", ""Heyy Babyy"", ""Jai Veeru"", ""Acid Factory"", ""All the Best – Fun Begins"", ""Dulha Mil Gaya"". He is next slated to appear in ""No Entry Mein Entry"".",$40 Million,"Mar 8, 1974 (46 years old)",Male,6 ft (1.83 m),Actor,India,Neutral
Sai Tamhankar,"Sai Tamhankar net worth: Sai Tamhankar is an Indian actress who has a net worth of $5 million dollars. Born in Sangli, Maharashtra, India, Sai Tamhankar began acting while in high school. She went on to win various acting awards throughout her college career, and relocated to Mumbai in 2004 to focus on a career in performance. While in Mumbai she also worked as a hotel manager in order to support herself. Her career took off when she was cast in her first Marathi serial, and she has since appeared in many more serials and sitcoms, including ""Ya Gojirvanya Gharat"", ""Agni Shikha"", and ""Kasturi"". She also launched a successful film career and has appeared in both Marathi and Hindi projects. Some of her feature films include, ""Sanai Choughade"", ""Ghajini"", ""Picnic"", ""Villa"", and the recently released comedy, ""Balak Palak"". She is engaged to visual effects artist Amey Gosavi, and they were to be married in late 2012. However, the wedding has been pushed back to accommodate their busy work schedules.",$5 Million,"Jun 25, 1986 (33 years old)",Female,,Actor,India,Neutral
Nandamuri Balakrishna," Nandamuri Balakrishna is an Indian actor and politician who has a net worth of $10 million dollars. Nandamuri Balakrishna was born in Madras, Madras State, India, and graduated from Nizam College in Hyderabad, with a degree in Commerce. His family was already heavily involved in the Telegu film industry and politics. His father was an award-winning actor and director, and also the former Chief Minister of Andhra Pradesh. He followed in his family's footsteps, and began performing in films when he was in elementary school. He officially broke through in the late 80s, appearing in six blockbuster films in a row. Since 2000, his career has had its ups and downs, which may be partially due to a shooting incident, in which he allegedly shot two producers at his home. He has won numerous awards, including two Nandi Awards, and two FilmFare Awards for Best Actor.",$10 Million,"Jun 10, 1960 (59 years old)",Male,5 ft 8 in (1.74 m),"Actor, Politician",India,Neutral
Arjun Kapoor,"Arjun Kapoor net worth: Arjun Kapoor is an Indian film actor who has a net worth of $10 million. Arjun Kapoor was born on June 26th 1985, in Mumbai, India. Being a son of the Indian film producer, Boney Kapoorhe, grandson of the filmmaker Surinder Kapoor, nephew of the actor Anil Kapoor and first-cousin of the actress Sonam Kapoor, he became familiar with the movie industry at a very young age. However, he made his acting debut with the romantic drama Ishaqzaade (2012), for which he received a nod from critics for his performance. As for the movie, it was both critically and commercially acclaimed. Before venturing into acting, Kapoor took on the role of an assistant producer and assistant director in several films. As a producer, he created movies like blockbusters No Entry (2005) and Wanted (2009), while as an assistant director, he worked on films such as Shakti: The Power (2002), Kal Ho Naa Ho (2003) and Salaam-E-Ishq (2007). His ambitions to become an actor and film director, were fully supported by his family, even when he weighed around 310 pounds. But it was actor Salman Khan who encouraged him most to start acting and even helped him lose weight.",$10 Million,"Jun 26, 1985 (34 years old)",Male,6 ft (1.85 m),"Actor, Film Producer",India,Neutral
Rani Mukerji,"Rani Mukerji net worth: Rani Mukerji is an Indian film actress who has a net worth of $12 million. Coming from a movie-oriented family of Bengali origin, Rani Mukerji made her first cameo appearance in the 1996 Bengali film Biyer Phool, on her mother's insistence. This movie marked her debut as an actress, while, one year later, Mukerji landed her first role in a Hindu movie by playing the protagonist of Raja Ki Aayegi Baraat. Subsequently, she starred in Karan Johar's blockbuster romance Kuch Kuch Hota Hai (1998), which earned her a Filmfare Award for Best Supporting Actress. As for her remarkable performance in 2002 drama Saathiya, she won her first Filmfare Critics Award for Best Actress. Then in 2004, her roles in the blockbuster romantic comedy Hum Tum and the critically acclaimed drama Yuva, secured her the Best Actress and Best Supporting Actress awards, respectfully, at the 50th Filmfare Awards. Two more Filmfare Awards followed, for her moving portrayal of a blind, deaf and mute woman in the 2005 drama Black. The number of Mukerji's leading roles continued to grow with her performances in the 2005 comedy Bunty Aur Babli and the 2006 adult drama Kabhi Alvida Naa Kehna, both of which were successes in India and abroad. All of these roles helped Mukerji become a leading actress of Hindi cinema. But then, there was a period when Mukerji played a series of roles in commercially unsuccessful films, which caused hold-ups in her career. However, she regained praise from critics after she gave an outstanding portrayal of a headstrong journalist in No One Killed Jessica (2011) and a grieving mother in Talaash (2012). Apart from acting in movies, Mukerji has also featured as a talent judge for Sony Entertainment Television's reality show Dance Premier League in 2009. She is a constant stage performer who keeps her personal life under wraps.",$12 Million,"Mar 21, 1978 (42 years old)",Female,5 ft 2 in (1.6 m),"Actor, Dancer, Model",India,Neutral
Emraan Hashmi," Emraan Hashmi is an Indian film actor who has a net worth of $12 million. As a nephew of the eminent Indian director Mahesh Bhatt, Emraan Hashmi first set foot in directing, working with Vishesh Films as an assistant director on Vikram Bhatt's Raaz (2002). At the age of 19, he made his acting debut with Footpath (2003), which did not do well at the box office. It was not so bright start, but in 2004 he appeared along Mallika Sherawat in the thriller, Murder, which enjoyed a great commercial success. Then he starred in several commercially acknowledged movies, most of them produced by Vishesh Films. The critics didn't like his repetitive roles, which earned him the title ""serial kisser,"" and thus they labeled him ""one note actor."" However, he improved his ""poor"" reputation and gathered wide critical acclaim for his roles in Once Upon A Time In Mumbaai (2010), The Dirty Picture (2011) and Shanghai (2012). These movies helped him become one of the leading contemporary actors of Hindi cinema, as well as one of the most popular celebrities in India. Hashmi earned three Filmfare Awards nominations throughout his acting career. As for his off-screen life, he tied the knot with his long-time girlfriend Parveen Shahani in 2008 and became a father to a baby son, Ayaan Hashmi, in 2010.",$12 Million,"Mar 24, 1979 (41 years old)",Male,5 ft 8 in (1.73 m),"Actor, Model",India,Neutral
Vidya Balan," Vidya Balan is an Indian film actress who has a net worth of $15 million. Born on January 1, 1978, in Ottapalam, Kerala, India, Vidya Balan has established herself as a leading contemporary actress of Hindi cinema. At the age of 16, Balan made her acting debut, landing her first role in the 1995 sitcom Hum Paanch. After her fruitless attempts to start an acting career, she was forced to act in TV commercials and music videos. It was in 2005, when Balan garnered the first praise for her appearance in Parineeta, and this success was followed with a leading role in the 2006 blockbuster Lage Raho Munna Bhai. Then she portrayed glamorous characters in movies like Heyy Babyy (2007) and Kismat Konnection (2008), but both her performances earned negative comments from critics. However, 2009 marked the start of the most successful period in Balan's career. Her consecutive roles in Paa (2009), Ishqiya (2010), No One Killed Jessica (2011), The Dirty Picture (2011), and Kahaani (2012), earned her the ""female hero"" attribute and helped her gain a special place among ruling contemporary Hindu actresses. During her turbulent career, Balan has won one National Film Award, five Filmfare Awards and five Screen Awards. She drew attention with her fluctuating weight and poor sense for clothes, but was eventually credited for keeping her individuality and breaking stereotypes of a Hindi film heroine. Apart from acting, she is a social activist and loud supporter of the empowerment of women. She also plays the off-screen role of a wife to film producer Siddharth Roy Kapur. They tied the knot in December, 2012.",$15 Million,"Jan 1, 1978 (42 years old)",Female,5 ft 4 in (1.63 m),"Actor, Model",India,Neutral
Pawan Kalyan," Pawan Kalyan is an Indian actor who has a net worth of $15 million. Pawan Kalyan was born Konidala Kalyan Babu on Sptember 2nd 1971 in Mogultur, Andhra Predes, India. Being raised as the youngest brother of actor Chiranjeevi and actor-producer Nagendra Babu, Kalayn grown into a popular actor and film director in Telugu cinema himself. It was in 1996, when he both re-christened himself as Pawan Kalyan and made his acting debut with Akkada Ammayi Ikkada Abbayi. Two years later, he starred in the award-winning movie Tholi Prema that won the National Film Award for Best Feature Film in Telugu for 1998. Other Pawan Kalyan's notable movies are: Thammudu (1999), Badri (2000), Khushi (2001) and Jalsa (2008). Apart from establishing himself as one of the leading Telugu cinema actors, he has also started an organization called Common Man Protection Force (CMPF) in October 2007. Kalyan's organization aims to help people from socially neglected areas in India by resolving their fundamental social problems. As for his private life, Kalyan first married Nandini, but eventually he left her and started living with actress Renu Desai, with whom he worked in his films Badri and Johnny. The pair has two children together: a son called Akira Nandan (born in 2004) and a daughter called Aadhya (born in 2010).",$15 Million,"Sep 2, 1971 (48 years old)",Male,5 ft 11 in (1.82 m),"Actor, Choreographer, Screenwriter, Film director",India,Neutral
Bipasha Basu," Bipasha Basu is an Indian film actress and a former model, who has a net worth of $15 million. Bipasha Basu, aka ""Bips"", is an Indian beauty who started her professional career as a model, but then ventured into films and made her name as an actress in Telugu, Bengali and Tamil language films. The fact that her debutant role as a foe in the 2001 movie Ajnabee earned her a Filmfare Award for Best Female Debut, was a clear sign that she made the right choice. However, Basu's commercial success came after her appearance in Raaz (2002), which was followed by more media exposure once she rendered a bold part in the erotic 2003 movie Jism. Next, she played parts in major movies such as No Entry(2005), Phir Hera Pheri (2006), Dhoom 2 (2006) and Race (2008), and in movies like Apharan (2005), Corporate (2006) and Bachna Ae Haseeno (2008) that earned her critical claim and gave her a chance for several award nominations. She has been nominated twice for the Filmfare Award for Best Actress and Supporting Actress, each time together with a nomination for the Filmfare Award for Best Performance in a Negative Role. After spending few years off the big screen (2009–2011), she made a comeback with her appearance in Raaz 3 (2012), which was both a commercial success and critical praise. Having accomplished all of the above, Basu has become a leading contemporary Bollywood actress. Actually, she has been known as a ""sex symbol,"" thanks to her bold on-screen performance and honest confessions of her private life.",$15 Million,"Jan 7, 1979 (41 years old)",Female,5 ft 6 in (1.7 m),"Actor, Model",India,Neutral
Arman Kohli," Armaan Kohli is an Indian actor who has a net worth of $15 million. Armaan Kohli was born to parents heavily involved in the show business industry in 1972 in India. Kohli started acting as a child, appearing in a few of his father's films, including ""Badle Ki Aag"" in 1982 and ""Raaj Tilak"" in 1984. Kohli didn't appear on screen again until 1992, this time playing Raj in another of his father's movies: ""Virodhi"". Kohli went on to appear in ""Dushman Zamana"" as Vijay, ""Koyal"", ""Kohra"" as Anand Sharma, ""Aulad Ke Dushman"" as Vikram Chaudhary, ""Juaari"", ""Veer"" as Arjun, ""Qahar"" as Krishna, ""Dushmani"", ""Jaani Dushman: Ek Anokhi Kahani"" as Kapli, and ""LOC: Kargil"" as Major Vikas Vohra, which premiered in 2003. That was his last film appearance before he began filming 2015's ""Prem Ratan Dhan Payo"". A year prior to ""LOC: Kargil"", Kohli made headlines when the car he was driving struck a man. He was next seen on TV screens appearing on the reality show ""Bigg Boss 7"". Soon after, he was arrested for allegedly assaulting a fellow competitor, Sofia Hayat, and he made bail the following day. Kohli also appeared on Humdunbawg Shetty, a lawyer, on ""Tumhari Paakhi"".",$15 Million,"Mar 23, 1972 (48 years old)",Male,,Actor,India,Neutral
